dia_mes	dia	sem_epi	cont_dia	mort_dia	recup_dia	cont_acum	mort_acum	recup_acum
25/02/2020	1	9	0	0	0	0	0	0
26/02/2020	2	9	1	0	0	1	0	0
27/02/2020	3	9	0	0	0	1	0	0
28/02/2020	4	9	0	0	0	1	0	0
29/02/2020	5	9	1	0	0	2	0	0
01/03/2020	6	10	0	0	0	2	0	0
02/03/2020	7	10	0	0	0	2	0	0
03/03/2020	8	10	0	0	0	2	0	0
04/03/2020	9	10	1	0	0	3	0	0
05/03/2020	10	10	4	0	0	7	0	0
06/03/2020	11	10	6	0	0	13	0	0
07/03/2020	12	10	6	0	0	19	0	0
08/03/2020	13	11	6	0	0	25	0	0
09/03/2020	14	11	0	0	0	25	0	0
10/03/2020	15	11	9	0	0	34	0	0
11/03/2020	16	11	18	0	0	52	0	0
12/03/2020	17	11	25	0	0	77	0	0
13/03/2020	18	11	21	0	0	98	0	0
14/03/2020	19	11	23	0	0	121	0	0
15/03/2020	20	12	79	0	0	200	0	0
16/03/2020	21	12	34	0	0	234	0	0
17/03/2020	22	12	57	1	0	291	1	0
18/03/2020	23	12	137	3	0	428	4	0
19/03/2020	24	12	193	2	0	621	6	0
20/03/2020	25	12	283	5	0	904	11	0
21/03/2020	26	12	224	7	0	1128	18	0
22/03/2020	27	13	418	7	0	1546	25	0
23/03/2020	28	13	345	9	0	1891	34	0
24/03/2020	29	13	310	12	0	2201	46	0
25/03/2020	30	13	232	11	0	2433	57	0
26/03/2020	31	13	482	20	0	2915	77	0
27/03/2020	32	13	502	15	0	3417	92	0
28/03/2020	33	13	486	22	0	3903	114	0
29/03/2020	34	14	353	22	0	4256	136	0
30/03/2020	35	14	323	23	0	4579	159	0
31/03/2020	36	14	1138	42	0	5717	201	0
01/04/2020	37	14	1117	40	0	6834	241	0
02/04/2020	38	14	1076	58	0	7910	299	0
03/04/2020	39	14	1146	60	0	9056	359	0
04/04/2020	40	14	1222	73	0	10278	432	0
05/04/2020	41	15	852	54	0	11130	486	0
06/04/2020	42	15	926	67	0	12056	553	0
07/04/2020	43	15	1661	114	0	13717	667	0
