data	dia	eua	esp	ita	ale	fra	ing	ira	tur	bel	rus	bra
16/mar	76	2889	3425	3526	3477	2164	399	2262	42	396	59	34
17/mar	77	1782	2538	4207	2088	1097	407	1178	51	158	21	57
18/mar	78	2924	2431	5322	2967	1404	676	1192	93	243	33	137
19/mar	79	4453	2833	5986	2993	1861	643	1046	168	309	52	193
20/mar	80	5667	4946	6557	4528	1617	714	1237	311	462	54	283
21/mar	81	6379	3646	5560	2516	1847	1044	966	277	558	53	224
22/mar	82	8117	4517	4789	2509	5397	675	1028	289	586	61	418
23/mar	83	9985	6584	5019	6681	2346	948	1411	293	342	71	345
24/mar	84	9920	7937	5249	1432	3031	1428	1762	343	526	71	310
25/mar	85	10881	8578	5210	4337	109	1451	2206	561	668	57	232
26/mar	86	18870	7871	6203	5888	3813	2129	2389	1196	1298	163	482
27/mar	87	16845	8189	5990	7641	3809	2002	2926	2069	1049	182	502
28/mar	88	22921	6549	5974	5665	4647	3429	3076	1704	1850	196	487
29/mar	89	17814	6398	5217	4647	2563	2433	2901	1815	1702	228	352
30/mar	90	22006	8471	4050	5721	2000	2619	3186	1610	1063	270	323
31/mar	91	23502	8470	4053	4805	3656	3009	3111	2704	876	302	1138
01/abr	92	27811	8102	4782	6291	5657	4284	2930	2302	1286	501	1119
02/abr	93	28785	7472	4668	6763	6954	4284	2931	2302	1287	605	1074
03/abr	94	33279	7026	4585	7215	5192	5150	2715	2786	1422	606	1146
04/abr	95	32304	6023	4805	4149	4972	3035	2560	3013	1661	601	1222
05/abr	96	27225	4273	4316	4015	1873	5093	2483	3135	1660	582	852
06/abr	97	29616	5478	3599	3228	3912	3802	2274	3148	1123	658	926
07/abr	98	30828	1432	3039	4308	3777	3634	2089	3842	1380	954	1661
08/abr	99	34456	10504	3836	5637	3881	5491	2349	4117	1209	1154	2210
09/abr	100	33428	4576	4204	4939	4286	4344	2348	4056	1580	1175	1930
10/abr	101	35527	4830	3951	3980	4342	8681	906	4747	1684	1459	1781
11/abr	102	30071	4187	4694	3237	3114	5233	1837	5138	1351	1786	1089
12/abr	103	28305	812	4092	2402	1613	5288	1657	4789	1629	1667	1442
13/abr	104	27141	5710	3153	2218	2673	4342	1617	4093	942	2186	1261
14/abr	105	25712	5092	2972	2441	5497	5232	1574	4062	530	2558	1832
15/abr	106	29886	3026	2667	2240	2633	4603	1512	4281	2454	2774	3058
16/abr	107	32076	4289	3786	2866	2641	4617	1606	4801	1236	3388	2105
17/abr	108	30915	5891	3493	3380	405	5599	1499	4353	1329	3448	3257
18/abr	109	28084	3577	3491	3809	2569	5525	1374	3783	1045	4070	2917
19/abr	110	26013	4258	3047	2458	785	5850	1343	3977	1313	6060	2055
20/abr	111	25132	1536	2256	1775	2051	4676	1294	4674	1487	4268	1927
21/abr	112	25378	3968	2729	1785	2667	4301	1297	4611	973	5642	2498
22/abr	113	29046	4211	3370	2237	1827	4451	1194	3983	933	5236	2678
23/abr	114	32331	4635	2646	2352	1653	4583	1030	3116	908	4774	3735
24/abr	115	36138	6740	3021	2337	1773	5386	1168	3122	1496	5849	3503
25/abr	116	34874	3995	2357	2055	1537	4913	1134	2861	1032	5966	5514
26/abr	117	26929	2870	2324	1737	461	4463	1153	2357	809	6361	3379
27/abr	118	22122	2793	1739	1018	1195	4309	991	2131	553	6198	4613
28/abr	119	24429	2706	2091	1144	1065	3996	1112	2392	647	6411	5385
29/abr	120	25904	4771	2086	1304	1607	4076	1073	2936	525	5841	6276
30/abr	121	29674	2470	1872	1478	1139	6032	983	2615	660	7099	7218
01/mai	122	33007	3619	1965	1639	604	6201	1006	2188	513	7933	5919
02/mai	123	30696	2579	1900	945	794	4806	802	1983	485	9623	5097
03/mai	124	25265	1555	1389	793	308	4339	976	1670	389	10633	4751
04/mai	125	21278	3959	1221	679	576	3985	1223	1614	361	10581	6633
05/mai	126	22252	2969	1075	685	1104	4406	1323	1832	242	10102	6935
06/mai	127	24859	2805	1444	947	4183	6111	1680	1253	272	10559	10503
07/mai	128	27535	3262	1401	1284	629	5614	1485	1977	639	11231	9888
08/mai	129	27114	2666	1327	1209	642	4649	1556	1848	591	10699	10222
09/mai	130	25563	1887	1083	1251	433	3896	1529	1546	585	10817	10611
10/mai	131	20377	3473	802	667	209	3923	1383	1542	485	11012	6760
