data	dia	eua	esp	ita	ale	fra	ing	ira	tur	bel	rus	bra
16/mar	76	44	203	345	9	57	34	245	0	5	0	0
17/mar	77	13	107	475	9	27	16	135	1	5	0	1
18/mar	78	52	169	427	2	89	33	147	1	4	0	3
19/mar	79	51	235	627	16	108	40	149	2	7	0	3
20/mar	80	55	324	793	24	78	33	149	5	16	0	4
21/mar	81	55	394	651	16	112	57	123	12	30	0	7
22/mar	82	177	462	601	10	298	48	129	9	8	0	7
23/mar	83	130	514	672	54	112	53	127	7	13	0	0
24/mar	84	147	738	743	9	140	87	122	7	34	0	21
25/mar	85	205	655	683	49	221	43	143	15	56	0	11
26/mar	86	291	769	712	56	363	113	157	16	42	2	20
27/mar	87	342	832	919	80	299	225	144	17	69	0	15
28/mar	88	668	838	889	91	319	225	139	16	64	1	22
29/mar	89	247	812	756	56	392	200	123	23	78	1	22
30/mar	90	688	856	812	156	455	180	117	37	82	2	23
31/mar	91	687	857	837	130	455	381	141	46	192	2	42
01/abr	92	961	950	727	156	932	566	131	71	153	3	39
02/abr	93	1000	932	760	176	932	566	131	71	153	6	84
03/abr	94	1587	809	766	168	1116	690	134	69	132	5	35
04/abr	95	1026	674	681	171	1064	702	158	76	140	7	73
05/abr	96	1204	637	525	138	518	621	151	73	164	8	54
06/abr	97	1220	743	636	222	833	439	136	75	185	10	67
07/abr	98	1927	247	604	211	1417	786	133	76	403	9	114
08/abr	99	1929	1193	542	332	541	938	131	87	205	11	133
09/abr	100	1811	605	610	258	1341	881	107	96	283	10	141
10/abr	101	2128	510	570	100	987	980	122	98	496	18	115
11/abr	102	1873	619	619	164	635	917	125	95	327	12	68
12/abr	103	1522	237	431	151	561	737	117	97	254	24	99
13/abr	104	1556	847	566	172	574	717	111	98	303	18	105
14/abr	105	2209	523	602	250	762	778	98	107	254	22	204
15/abr	106	2597	233	578	360	1438	761	94	115	283	28	204
16/abr	107	2141	318	525	315	753	847	92	125	417	34	188
17/abr	108	2080	348	575	299	761	888	89	126	306	41	217
18/abr	109	1743	565	482	242	642	596	73	121	290	40	206
19/abr	110	1634	410	433	184	395	449	87	127	230	48	115
20/abr	111	1640	399	454	110	547	828	91	123	145	44	113
21/abr	112	2624	430	534	194	531	763	88	119	170	51	166
22/abr	113	2119	435	437	281	544	638	94	117	264	57	165
23/abr	114	1840	440	464	215	516	768	90	115	228	42	407
24/abr	115	2053	367	420	227	389	4129	93	109	189	60	357
25/abr	116	1825	378	415	179	369	420	76	106	238	66	346
26/abr	117	1161	288	260	140	242	338	60	99	177	66	189
27/abr	118	1237	331	333	110	437	909	96	95	113	47	338
28/abr	119	2204	301	382	163	367	795	71	92	124	73	474
29/abr	120	2536	453	323	202	427	674	80	89	170	105	449
30/abr	121	2083	268	285	173	289	739	71	93	93	101	435
01/mai	122	1794	281	269	193	218	621	63	84	109	92	428
02/mai	123	1610	276	474	94	166	315	65	78	62	57	395
03/mai	124	1175	164	174	74	135	288	47	61	79	58	301
04/mai	125	877	349	195	43	306	693	74	64	80	76	296
05/mai	126	2435	244	236	139	330	649	63	59	92	95	600
06/mai	127	2701	213	369	165	278	539	78	64	323	86	615
07/mai	128	1971	229	274	123	178	626	68	57	76	88	610
08/mai	129	1695	179	243	147	243	346	55	48	106	98	751
09/mai	130	1555	143	194	103	80	268	48	50	60	104	730
10/mai	131	941	123	165	26	70	210	51	47	75	88	496
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
